trial angleIni direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same duration radius angleLandmark durationRampingLand freq size response
176 37 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 2.25 3.0 left
177 181 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 3.25 3.0 left
178 46 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 2.25 3.0 left
179 100 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 3.5 3.0 left
180 89 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 1.25 3.0 right
181 112 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 3.5 3.0 left
182 329 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 3.25 3.0 right
183 207 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 3.25 3.0 left
184 97 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 0.75 3.0 right
185 107 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 2.75 3.0 left
186 132 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 3.5 3.0 left
187 59 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 3.5 3.0 left
188 328 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 3.0 3.0 right
189 196 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 2.0 3.0 left
190 237 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 3.0 3.0 right
191 72 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 2.75 3.0 left
192 290 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 1.0 3.0 right
193 236 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 2.5 3.0 left
194 70 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 1.25 3.0 right
195 43 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 3.5 3.0 left
196 260 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 0.75 3.0 left
197 103 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 1.0 3.0 left
198 343 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 0.75 3.0 right
199 294 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 2.0 3.0 right
200 279 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 1.75 3.0 left
201 199 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 3.25 3.0 left
202 251 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 1.25 3.0 left
203 320 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 3.25 3.0 right
204 244 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 2.5 3.0 left
205 315 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 3.5 3.0 right
206 151 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 2.5 3.0 left
207 187 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 1.0 3.0 right
208 345 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 3.0 3.0 left
209 342 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 2.75 3.0 right
210 73 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 0.75 3.0 left
211 176 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 2.25 3.0 left
212 145 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 90.0 120.0 2.5 3.0 right
213 289 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 2.25 3.0 right
214 55 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 2.75 3.0 left
215 240 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 135.0 120.0 2.25 3.0 left
