trial angleIni direction durationRampingIni durationFinal sizeLandmark radiusLandmark durationRampingFinal durationIni same duration radius angleLandmark durationRampingLand freq size response responseTime
135 313 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 270.0 120.0 1.75 3.0 -2117.75 3.86676120758
136 233 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 1.0 3.0 -796.0 2.86545705795
137 185 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 2.0 3.0 -1807.0 2.77498602867
138 288 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 2.5 3.0 2763.0 2.75873303413
139 204 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 3.0 3.0 3093.0 2.6832048893
140 148 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 1.25 3.0 1633.0 3.30827593803
141 331 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 180.0 120.0 3.5 3.0 4352.5 3.19931602478
142 231 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 2.75 3.0 -2491.5 2.75845503807
143 176 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 0.75 3.0 -730.75 3.36680483818
144 127 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 1.25 3.0 -1189.25 2.9269490242
145 262 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 3.5 3.0 4126.0 3.07552099228
146 187 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 1.25 3.0 1368.25 2.63284802437
147 327 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 1.0 3.0 -1002.0 3.70028400421
148 44 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 2.75 3.0 2997.5 2.99177694321
149 129 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 90.0 120.0 0.75 3.0 1137.0 3.73461508751
150 320 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 2.0 3.0 -2482.0 3.89298796654
151 289 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 3.5 3.0 3512.5 2.56467318535
152 128 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 2.0 3.0 -2488.0 3.64115095139
153 94 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 0.75 3.0 951.25 3.18284893036
154 138 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 135.0 120.0 2.75 3.0 3174.0 3.07519316673
155 145 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 45.0 120.0 2.5 3.0 2462.5 2.58258104324
156 30 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 2.0 3.0 -2256.0 3.18359303474
157 241 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 2.0 3.0 2287.0 2.84302592278
158 193 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 2.75 3.0 -2777.0 3.00867986679
159 135 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 315.0 120.0 3.0 3.0 3240.0 2.87652993202
160 111 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 270.0 120.0 2.5 3.0 -2401.5 2.80000782013
161 167 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 2.5 3.0 -2968.0 3.49175310135
162 291 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 3.0 3.0 3612.0 3.07664084435
163 232 -1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 45.0 120.0 0.75 3.0 -647.75 3.26045417786
164 8 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 225.0 120.0 2.5 3.0 -3202.0 3.57439303398
165 206 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 0.0 120.0 2.25 3.0 3088.25 3.5666000843
166 249 -1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 315.0 120.0 2.0 3.0 -2127.0 3.30763912201
167 120 1 90.0 120.0 3.0 6.5 90.0 120.0 True 180.0 4.0 0.0 120.0 3.0 3.0 3207.0 2.86551403999
168 31 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 1.25 3.0 1564.75 3.41629981995
169 206 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 180.0 120.0 3.0 3.0 4202.0 3.70699501038
170 308 1 90.0 120.0 3.0 6.5 90.0 120.0 False 180.0 4.0 225.0 120.0 2.25 3.0 2873.0 3.17500305176
